-----NEW TEST-------
frequency:    3.000000 Hz
start time    256176 ms
stop time     259509 ms
Sample Prd    2 ms
Number Cylces 10 
N_sample,fluidInVoltage,fluidOutVoltage,pressureCommanded,pressureError,pressure
786,0,96,386.31,-9.69,396
787,0,113,379.62,-11.38,391
788,0,242,372.79,-24.21,397
789,0,250,365.86,-26.14,392
790,0,250,358.81,-35.19,394
791,0,250,351.67,-46.33,398
792,0,250,344.45,-46.55,391
793,0,250,337.14,-46.86,384
794,0,250,329.78,-65.22,395
795,0,250,322.35,-63.65,386
796,0,250,314.88,-72.12,387
797,0,250,307.38,-76.62,384
798,0,250,299.86,-82.14,382
799,0,250,292.32,-86.68,379
800,0,250,284.78,-95.22,380
801,0,250,277.25,-99.75,377
802,0,250,269.74,-107.26,377
803,0,250,262.26,-113.74,376
804,0,250,254.82,-119.18,374
805,0,250,247.43,-127.57,375
806,0,250,240.10,-133.90,374
807,0,250,232.85,-140.15,373
808,0,250,225.68,-143.32,369
809,0,250,218.60,-150.40,369
810,0,250,211.62,-157.38,369
811,0,250,204.76,-162.24,367
812,0,250,198.02,-168.98,367
813,0,250,191.41,-172.59,364
814,0,250,184.94,-174.06,359
815,0,250,178.63,-182.37,361
816,0,250,172.47,-183.53,356
817,0,250,166.48,-187.52,354
818,0,250,160.67,-195.33,356
